sexo,grupo_etario,nivel_educativo,conteo,porcentaje
Mujeres,18-34 años,Estudios Universitarios incompletos (1 a 3 años),377,1.2052044371982993
Mujeres,18-34 años,Estudios de Posgrado (2 a 4 años),56,0.17902240976950864
Mujeres,18-34 años,No sabe/No contesta,6,0.019180972475304498
Mujeres,18-34 años,Primaria completa (6 años),275,0.8791279051181229
Mujeres,18-34 años,Primaria incompleta (1 a 5 años),78,0.24935264217895847
Mujeres,18-34 años,Secundaria completa o equivalente (3 años),1190,3.8042262076020585
Mujeres,18-34 años,Secundaria incompleta (1 a 2 años),229,0.7320737828074549
Mujeres,35-59 años,Bachillerato completo o equivalente (aprox. 3 años),1680,5.370672293085259
Mujeres,35-59 años,Bachillerato incompleto (1 a 2 años),557,1.7806336114574342
Mujeres,35-59 años,Estudios Universitarios completos (4 a 5 años),1123,3.590038681627825
Mujeres,35-59 años,Estudios Universitarios incompletos (1 a 3 años),285,0.9110961925769637
Mujeres,35-59 años,Estudios de Posgrado (2 a 4 años),189,0.6042006329720917
Mujeres,35-59 años,No sabe/No contesta,7,0.02237780122118858
Mujeres,35-59 años,Primaria completa (6 años),1339,4.280553690738787
Mujeres,35-59 años,Primaria incompleta (1 a 5 años),485,1.5504619417537802
Mujeres,35-59 años,Secundaria completa o equivalente (3 años),2781,8.890380742303634
Mujeres,35-59 años,Secundaria incompleta (1 a 2 años),512,1.6367763178926507
Mujeres,60-75 años,Bachillerato completo o equivalente (aprox. 3 años),326,1.042166171158211
Mujeres,60-75 años,Bachillerato incompleto (1 a 2 años),97,0.31009238835075603
Mujeres,60-75 años,Estudios Universitarios completos (4 a 5 años),302,0.965442281256993
Mujeres,60-75 años,Estudios Universitarios incompletos (1 a 3 años),68,0.21738435472011763
Mujeres,60-75 años,Estudios de Posgrado (2 a 4 años),46,0.14705412231066783
Mujeres,60-75 años,No sabe/No contesta,17,0.05434608868002941
Mujeres,60-75 años,Primaria completa (6 años),899,2.873949042549791
Mujeres,60-75 años,Primaria incompleta (1 a 5 años),715,2.285732553307119
Mujeres,60-75 años,Secundaria completa o equivalente (3 años),636,2.0331830823822767
Mujeres,60-75 años,Secundaria incompleta (1 a 2 años),189,0.6042006329720917
