grupo_etario,entidad,sexo,nivel_educativo,conteo,porcentaje
12-17 años,Baja California,Hombres,Primaria completa (6 años),8,7.920792079207921
12-17 años,Baja California,Hombres,Primaria incompleta (1 a 5 años),0,0.0
12-17 años,Baja California,Hombres,Secundaria completa o equivalente (3 años),18,17.82178217821782
12-17 años,Baja California,Hombres,Secundaria incompleta (1 a 2 años),36,35.64356435643564
12-17 años,Baja California,Mujeres,Bachillerato completo o equivalente (aprox. 3 años),4,6.349206349206349
12-17 años,Baja California,Mujeres,Bachillerato incompleto (1 a 2 años),17,26.984126984126984
12-17 años,Baja California,Mujeres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Baja California,Mujeres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Baja California,Mujeres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Baja California,Mujeres,No sabe/No contesta,0,0.0
12-17 años,Baja California,Mujeres,Primaria completa (6 años),7,11.11111111111111
12-17 años,Baja California,Mujeres,Primaria incompleta (1 a 5 años),1,1.5873015873015872
12-17 años,Baja California,Mujeres,Secundaria completa o equivalente (3 años),12,19.047619047619047
12-17 años,Baja California,Mujeres,Secundaria incompleta (1 a 2 años),22,34.92063492063492
12-17 años,Baja California Sur,Hombres,Bachillerato completo o equivalente (aprox. 3 años),2,18.181818181818183
12-17 años,Baja California Sur,Hombres,Bachillerato incompleto (1 a 2 años),3,27.27272727272727
12-17 años,Baja California Sur,Hombres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Baja California Sur,Hombres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Baja California Sur,Hombres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Baja California Sur,Hombres,No sabe/No contesta,0,0.0
12-17 años,Baja California Sur,Hombres,Primaria completa (6 años),1,9.090909090909092
12-17 años,Baja California Sur,Hombres,Primaria incompleta (1 a 5 años),0,0.0
12-17 años,Baja California Sur,Hombres,Secundaria completa o equivalente (3 años),2,18.181818181818183
12-17 años,Baja California Sur,Hombres,Secundaria incompleta (1 a 2 años),3,27.27272727272727
12-17 años,Baja California Sur,Mujeres,Bachillerato completo o equivalente (aprox. 3 años),3,27.27272727272727
12-17 años,Baja California Sur,Mujeres,Bachillerato incompleto (1 a 2 años),3,27.27272727272727
12-17 años,Baja California Sur,Mujeres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Baja California Sur,Mujeres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Baja California Sur,Mujeres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Baja California Sur,Mujeres,No sabe/No contesta,0,0.0
12-17 años,Baja California Sur,Mujeres,Primaria completa (6 años),0,0.0
12-17 años,Baja California Sur,Mujeres,Primaria incompleta (1 a 5 años),0,0.0
12-17 años,Baja California Sur,Mujeres,Secundaria completa o equivalente (3 años),2,18.181818181818183
12-17 años,Baja California Sur,Mujeres,Secundaria incompleta (1 a 2 años),3,27.27272727272727
12-17 años,Campeche,Hombres,Bachillerato completo o equivalente (aprox. 3 años),3,7.6923076923076925
12-17 años,Campeche,Hombres,Bachillerato incompleto (1 a 2 años),7,17.94871794871795
12-17 años,Campeche,Hombres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Campeche,Hombres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Campeche,Hombres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Campeche,Hombres,No sabe/No contesta,0,0.0
12-17 años,Campeche,Hombres,Primaria completa (6 años),5,12.82051282051282
12-17 años,Campeche,Hombres,Primaria incompleta (1 a 5 años),0,0.0
12-17 años,Campeche,Hombres,Secundaria completa o equivalente (3 años),12,30.76923076923077
12-17 años,Campeche,Hombres,Secundaria incompleta (1 a 2 años),12,30.76923076923077
12-17 años,Campeche,Mujeres,Bachillerato completo o equivalente (aprox. 3 años),0,0.0
12-17 años,Campeche,Mujeres,Bachillerato incompleto (1 a 2 años),3,12.0
12-17 años,Campeche,Mujeres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Campeche,Mujeres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Campeche,Mujeres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Campeche,Mujeres,No sabe/No contesta,0,0.0
12-17 años,Campeche,Mujeres,Primaria completa (6 años),7,28.000000000000004
12-17 años,Campeche,Mujeres,Primaria incompleta (1 a 5 años),0,0.0
12-17 años,Campeche,Mujeres,Secundaria completa o equivalente (3 años),11,44.0
12-17 años,Campeche,Mujeres,Secundaria incompleta (1 a 2 años),4,16.0
12-17 años,Chiapas,Hombres,Bachillerato completo o equivalente (aprox. 3 años),3,6.382978723404255
12-17 años,Chiapas,Hombres,Bachillerato incompleto (1 a 2 años),11,23.404255319148938
12-17 años,Chiapas,Hombres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Chiapas,Hombres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Chiapas,Hombres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Chiapas,Hombres,No sabe/No contesta,0,0.0
12-17 años,Chiapas,Hombres,Primaria completa (6 años),10,21.27659574468085
12-17 años,Chiapas,Hombres,Primaria incompleta (1 a 5 años),1,2.127659574468085
12-17 años,Chiapas,Hombres,Secundaria completa o equivalente (3 años),8,17.02127659574468
12-17 años,Chiapas,Hombres,Secundaria incompleta (1 a 2 años),14,29.78723404255319
12-17 años,Chiapas,Mujeres,Bachillerato completo o equivalente (aprox. 3 años),2,3.7735849056603774
12-17 años,Chiapas,Mujeres,Bachillerato incompleto (1 a 2 años),10,18.867924528301888
12-17 años,Chiapas,Mujeres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Chiapas,Mujeres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Chiapas,Mujeres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Chiapas,Mujeres,No sabe/No contesta,0,0.0
12-17 años,Chiapas,Mujeres,Primaria completa (6 años),15,28.30188679245283
12-17 años,Chiapas,Mujeres,Primaria incompleta (1 a 5 años),4,7.547169811320755
12-17 años,Chiapas,Mujeres,Secundaria completa o equivalente (3 años),9,16.9811320754717
12-17 años,Chiapas,Mujeres,Secundaria incompleta (1 a 2 años),13,24.528301886792452
12-17 años,Chihuahua,Hombres,Bachillerato completo o equivalente (aprox. 3 años),6,6.976744186046512
12-17 años,Chihuahua,Hombres,Bachillerato incompleto (1 a 2 años),23,26.744186046511626
12-17 años,Chihuahua,Hombres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Chihuahua,Hombres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Chihuahua,Hombres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Chihuahua,Hombres,No sabe/No contesta,0,0.0
12-17 años,Chihuahua,Hombres,Primaria completa (6 años),15,17.441860465116278
12-17 años,Chihuahua,Hombres,Primaria incompleta (1 a 5 años),0,0.0
12-17 años,Chihuahua,Hombres,Secundaria completa o equivalente (3 años),21,24.418604651162788
12-17 años,Chihuahua,Hombres,Secundaria incompleta (1 a 2 años),21,24.418604651162788
12-17 años,Chihuahua,Mujeres,Bachillerato completo o equivalente (aprox. 3 años),5,10.204081632653061
12-17 años,Chihuahua,Mujeres,Bachillerato incompleto (1 a 2 años),10,20.408163265306122
12-17 años,Chihuahua,Mujeres,Estudios Universitarios completos (4 a 5 años),1,2.0408163265306123
12-17 años,Chihuahua,Mujeres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Chihuahua,Mujeres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Chihuahua,Mujeres,No sabe/No contesta,0,0.0
12-17 años,Chihuahua,Mujeres,Primaria completa (6 años),6,12.244897959183673
12-17 años,Chihuahua,Mujeres,Primaria incompleta (1 a 5 años),0,0.0
12-17 años,Chihuahua,Mujeres,Secundaria completa o equivalente (3 años),16,32.6530612244898
12-17 años,Chihuahua,Mujeres,Secundaria incompleta (1 a 2 años),11,22.448979591836736
12-17 años,Ciudad de México,Hombres,Bachillerato completo o equivalente (aprox. 3 años),11,13.095238095238097
12-17 años,Ciudad de México,Hombres,Bachillerato incompleto (1 a 2 años),17,20.238095238095237
12-17 años,Ciudad de México,Hombres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Ciudad de México,Hombres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Ciudad de México,Hombres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Ciudad de México,Hombres,No sabe/No contesta,0,0.0
12-17 años,Ciudad de México,Hombres,Primaria completa (6 años),7,8.333333333333332
12-17 años,Ciudad de México,Hombres,Primaria incompleta (1 a 5 años),0,0.0
12-17 años,Ciudad de México,Hombres,Secundaria completa o equivalente (3 años),33,39.285714285714285
12-17 años,Ciudad de México,Hombres,Secundaria incompleta (1 a 2 años),16,19.047619047619047
12-17 años,Ciudad de México,Mujeres,Bachillerato completo o equivalente (aprox. 3 años),3,6.122448979591836
12-17 años,Ciudad de México,Mujeres,Bachillerato incompleto (1 a 2 años),7,14.285714285714285
12-17 años,Ciudad de México,Mujeres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Ciudad de México,Mujeres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Ciudad de México,Mujeres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Ciudad de México,Mujeres,No sabe/No contesta,0,0.0
12-17 años,Ciudad de México,Mujeres,Primaria completa (6 años),7,14.285714285714285
12-17 años,Ciudad de México,Mujeres,Primaria incompleta (1 a 5 años),0,0.0
12-17 años,Ciudad de México,Mujeres,Secundaria completa o equivalente (3 años),16,32.6530612244898
12-17 años,Ciudad de México,Mujeres,Secundaria incompleta (1 a 2 años),16,32.6530612244898
12-17 años,Coahuila,Hombres,Bachillerato completo o equivalente (aprox. 3 años),2,8.695652173913043
12-17 años,Coahuila,Hombres,Bachillerato incompleto (1 a 2 años),6,26.08695652173913
12-17 años,Coahuila,Hombres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Coahuila,Hombres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Coahuila,Hombres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Coahuila,Hombres,No sabe/No contesta,0,0.0
12-17 años,Coahuila,Hombres,Primaria completa (6 años),6,26.08695652173913
12-17 años,Coahuila,Hombres,Primaria incompleta (1 a 5 años),0,0.0
12-17 años,Coahuila,Hombres,Secundaria completa o equivalente (3 años),4,17.391304347826086
12-17 años,Coahuila,Hombres,Secundaria incompleta (1 a 2 años),5,21.73913043478261
12-17 años,Coahuila,Mujeres,Bachillerato completo o equivalente (aprox. 3 años),0,0.0
12-17 años,Coahuila,Mujeres,Bachillerato incompleto (1 a 2 años),4,22.22222222222222
12-17 años,Coahuila,Mujeres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Coahuila,Mujeres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Coahuila,Mujeres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Coahuila,Mujeres,No sabe/No contesta,0,0.0
12-17 años,Coahuila,Mujeres,Primaria completa (6 años),5,27.77777777777778
12-17 años,Coahuila,Mujeres,Primaria incompleta (1 a 5 años),2,11.11111111111111
12-17 años,Coahuila,Mujeres,Secundaria completa o equivalente (3 años),1,5.555555555555555
12-17 años,Coahuila,Mujeres,Secundaria incompleta (1 a 2 años),6,33.33333333333333
12-17 años,Colima,Hombres,Bachillerato completo o equivalente (aprox. 3 años),6,4.958677685950414
12-17 años,Colima,Hombres,Bachillerato incompleto (1 a 2 años),33,27.27272727272727
12-17 años,Colima,Hombres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Colima,Hombres,Estudios Universitarios incompletos (1 a 3 años),1,0.8264462809917356
12-17 años,Colima,Hombres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Colima,Hombres,No sabe/No contesta,0,0.0
12-17 años,Colima,Hombres,Primaria completa (6 años),13,10.743801652892563
12-17 años,Colima,Hombres,Primaria incompleta (1 a 5 años),0,0.0
12-17 años,Colima,Hombres,Secundaria completa o equivalente (3 años),55,45.45454545454545
12-17 años,Colima,Hombres,Secundaria incompleta (1 a 2 años),13,10.743801652892563
12-17 años,Colima,Mujeres,Bachillerato completo o equivalente (aprox. 3 años),8,5.517241379310345
12-17 años,Colima,Mujeres,Bachillerato incompleto (1 a 2 años),27,18.620689655172416
12-17 años,Colima,Mujeres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Colima,Mujeres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Colima,Mujeres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Colima,Mujeres,No sabe/No contesta,0,0.0
12-17 años,Colima,Mujeres,Primaria completa (6 años),27,18.620689655172416
12-17 años,Colima,Mujeres,Primaria incompleta (1 a 5 años),0,0.0
12-17 años,Colima,Mujeres,Secundaria completa o equivalente (3 años),68,46.89655172413793
12-17 años,Colima,Mujeres,Secundaria incompleta (1 a 2 años),15,10.344827586206897
12-17 años,Durango,Hombres,Bachillerato completo o equivalente (aprox. 3 años),12,7.8431372549019605
12-17 años,Durango,Hombres,Bachillerato incompleto (1 a 2 años),33,21.568627450980394
12-17 años,Durango,Hombres,Estudios Universitarios completos (4 a 5 años),1,0.6535947712418301
12-17 años,Durango,Hombres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Durango,Hombres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Durango,Hombres,No sabe/No contesta,0,0.0
12-17 años,Durango,Hombres,Primaria completa (6 años),25,16.33986928104575
12-17 años,Durango,Hombres,Primaria incompleta (1 a 5 años),3,1.9607843137254901
12-17 años,Durango,Hombres,Secundaria completa o equivalente (3 años),34,22.22222222222222
12-17 años,Durango,Hombres,Secundaria incompleta (1 a 2 años),45,29.411764705882355
12-17 años,Durango,Mujeres,Bachillerato completo o equivalente (aprox. 3 años),16,9.248554913294797
12-17 años,Durango,Mujeres,Bachillerato incompleto (1 a 2 años),38,21.965317919075144
12-17 años,Durango,Mujeres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Durango,Mujeres,Estudios Universitarios incompletos (1 a 3 años),2,1.1560693641618496
12-17 años,Durango,Mujeres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Durango,Mujeres,No sabe/No contesta,0,0.0
12-17 años,Durango,Mujeres,Primaria completa (6 años),25,14.450867052023122
12-17 años,Durango,Mujeres,Primaria incompleta (1 a 5 años),0,0.0
12-17 años,Durango,Mujeres,Secundaria completa o equivalente (3 años),42,24.277456647398843
12-17 años,Durango,Mujeres,Secundaria incompleta (1 a 2 años),50,28.901734104046245
12-17 años,Guanajuato,Hombres,Bachillerato completo o equivalente (aprox. 3 años),4,2.898550724637681
12-17 años,Guanajuato,Hombres,Bachillerato incompleto (1 a 2 años),34,24.637681159420293
12-17 años,Guanajuato,Hombres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Guanajuato,Hombres,Estudios Universitarios incompletos (1 a 3 años),1,0.7246376811594203
12-17 años,Guanajuato,Hombres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Guanajuato,Hombres,No sabe/No contesta,0,0.0
12-17 años,Guanajuato,Hombres,Primaria completa (6 años),10,7.246376811594203
12-17 años,Guanajuato,Hombres,Primaria incompleta (1 a 5 años),1,0.7246376811594203
12-17 años,Guanajuato,Hombres,Secundaria completa o equivalente (3 años),35,25.36231884057971
12-17 años,Guanajuato,Hombres,Secundaria incompleta (1 a 2 años),53,38.405797101449274
12-17 años,Guanajuato,Mujeres,Bachillerato completo o equivalente (aprox. 3 años),3,2.0408163265306123
12-17 años,Guanajuato,Mujeres,Bachillerato incompleto (1 a 2 años),30,20.408163265306122
12-17 años,Guanajuato,Mujeres,Estudios Universitarios completos (4 a 5 años),1,0.6802721088435374
12-17 años,Guanajuato,Mujeres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Guanajuato,Mujeres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Guanajuato,Mujeres,No sabe/No contesta,1,0.6802721088435374
12-17 años,Guanajuato,Mujeres,Primaria completa (6 años),27,18.367346938775512
12-17 años,Guanajuato,Mujeres,Primaria incompleta (1 a 5 años),4,2.7210884353741496
12-17 años,Guanajuato,Mujeres,Secundaria completa o equivalente (3 años),38,25.850340136054424
12-17 años,Guanajuato,Mujeres,Secundaria incompleta (1 a 2 años),43,29.25170068027211
12-17 años,Guerrero,Hombres,Bachillerato completo o equivalente (aprox. 3 años),9,7.317073170731707
12-17 años,Guerrero,Hombres,Bachillerato incompleto (1 a 2 años),28,22.76422764227642
12-17 años,Guerrero,Hombres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Guerrero,Hombres,Estudios Universitarios incompletos (1 a 3 años),1,0.8130081300813009
12-17 años,Guerrero,Hombres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Guerrero,Hombres,No sabe/No contesta,0,0.0
12-17 años,Guerrero,Hombres,Primaria completa (6 años),16,13.008130081300814
12-17 años,Guerrero,Hombres,Primaria incompleta (1 a 5 años),2,1.6260162601626018
12-17 años,Guerrero,Hombres,Secundaria completa o equivalente (3 años),38,30.89430894308943
12-17 años,Guerrero,Hombres,Secundaria incompleta (1 a 2 años),29,23.577235772357724
12-17 años,Guerrero,Mujeres,Bachillerato completo o equivalente (aprox. 3 años),13,11.926605504587156
12-17 años,Guerrero,Mujeres,Bachillerato incompleto (1 a 2 años),22,20.18348623853211
12-17 años,Guerrero,Mujeres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Guerrero,Mujeres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Guerrero,Mujeres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Guerrero,Mujeres,No sabe/No contesta,0,0.0
12-17 años,Guerrero,Mujeres,Primaria completa (6 años),14,12.844036697247708
12-17 años,Guerrero,Mujeres,Primaria incompleta (1 a 5 años),5,4.587155963302752
12-17 años,Guerrero,Mujeres,Secundaria completa o equivalente (3 años),32,29.357798165137616
12-17 años,Guerrero,Mujeres,Secundaria incompleta (1 a 2 años),23,21.100917431192663
12-17 años,Hidalgo,Hombres,Bachillerato completo o equivalente (aprox. 3 años),0,0.0
12-17 años,Hidalgo,Hombres,Bachillerato incompleto (1 a 2 años),7,21.21212121212121
12-17 años,Hidalgo,Hombres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Hidalgo,Hombres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Hidalgo,Hombres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Hidalgo,Hombres,No sabe/No contesta,0,0.0
12-17 años,Hidalgo,Hombres,Primaria completa (6 años),9,27.27272727272727
12-17 años,Hidalgo,Hombres,Primaria incompleta (1 a 5 años),2,6.0606060606060606
12-17 años,Hidalgo,Hombres,Secundaria completa o equivalente (3 años),5,15.151515151515152
12-17 años,Hidalgo,Hombres,Secundaria incompleta (1 a 2 años),10,30.303030303030305
12-17 años,Hidalgo,Mujeres,Bachillerato completo o equivalente (aprox. 3 años),2,5.128205128205128
12-17 años,Hidalgo,Mujeres,Bachillerato incompleto (1 a 2 años),12,30.76923076923077
12-17 años,Hidalgo,Mujeres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Hidalgo,Mujeres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Hidalgo,Mujeres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Hidalgo,Mujeres,No sabe/No contesta,0,0.0
12-17 años,Hidalgo,Mujeres,Primaria completa (6 años),3,7.6923076923076925
12-17 años,Hidalgo,Mujeres,Primaria incompleta (1 a 5 años),2,5.128205128205128
12-17 años,Hidalgo,Mujeres,Secundaria completa o equivalente (3 años),12,30.76923076923077
12-17 años,Hidalgo,Mujeres,Secundaria incompleta (1 a 2 años),8,20.51282051282051
12-17 años,Jalisco,Hombres,Bachillerato completo o equivalente (aprox. 3 años),3,5.263157894736842
12-17 años,Jalisco,Hombres,Bachillerato incompleto (1 a 2 años),12,21.052631578947366
12-17 años,Jalisco,Hombres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Jalisco,Hombres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Jalisco,Hombres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Jalisco,Hombres,No sabe/No contesta,0,0.0
12-17 años,Jalisco,Hombres,Primaria completa (6 años),12,21.052631578947366
12-17 años,Jalisco,Hombres,Primaria incompleta (1 a 5 años),1,1.7543859649122806
12-17 años,Jalisco,Hombres,Secundaria completa o equivalente (3 años),15,26.31578947368421
12-17 años,Jalisco,Hombres,Secundaria incompleta (1 a 2 años),14,24.561403508771928
12-17 años,Jalisco,Mujeres,Bachillerato completo o equivalente (aprox. 3 años),4,7.2727272727272725
12-17 años,Jalisco,Mujeres,Bachillerato incompleto (1 a 2 años),10,18.181818181818183
12-17 años,Jalisco,Mujeres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Jalisco,Mujeres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Jalisco,Mujeres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Jalisco,Mujeres,No sabe/No contesta,0,0.0
12-17 años,Jalisco,Mujeres,Primaria completa (6 años),12,21.818181818181817
12-17 años,Jalisco,Mujeres,Primaria incompleta (1 a 5 años),0,0.0
12-17 años,Jalisco,Mujeres,Secundaria completa o equivalente (3 años),8,14.545454545454545
12-17 años,Jalisco,Mujeres,Secundaria incompleta (1 a 2 años),21,38.18181818181819
12-17 años,Michoacán,Hombres,Bachillerato completo o equivalente (aprox. 3 años),7,5.833333333333333
12-17 años,Michoacán,Hombres,Bachillerato incompleto (1 a 2 años),40,33.33333333333333
12-17 años,Michoacán,Hombres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Michoacán,Hombres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Michoacán,Hombres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Michoacán,Hombres,No sabe/No contesta,0,0.0
12-17 años,Michoacán,Hombres,Primaria completa (6 años),18,15.0
12-17 años,Michoacán,Hombres,Primaria incompleta (1 a 5 años),6,5.0
12-17 años,Michoacán,Hombres,Secundaria completa o equivalente (3 años),22,18.333333333333332
12-17 años,Michoacán,Hombres,Secundaria incompleta (1 a 2 años),27,22.5
12-17 años,Michoacán,Mujeres,Bachillerato completo o equivalente (aprox. 3 años),7,4.827586206896552
12-17 años,Michoacán,Mujeres,Bachillerato incompleto (1 a 2 años),37,25.517241379310345
12-17 años,Michoacán,Mujeres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Michoacán,Mujeres,Estudios Universitarios incompletos (1 a 3 años),1,0.6896551724137931
12-17 años,Michoacán,Mujeres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Michoacán,Mujeres,No sabe/No contesta,0,0.0
12-17 años,Michoacán,Mujeres,Primaria completa (6 años),20,13.793103448275861
12-17 años,Michoacán,Mujeres,Primaria incompleta (1 a 5 años),3,2.0689655172413794
12-17 años,Michoacán,Mujeres,Secundaria completa o equivalente (3 años),28,19.310344827586206
12-17 años,Michoacán,Mujeres,Secundaria incompleta (1 a 2 años),49,33.793103448275865
12-17 años,Morelos,Hombres,Bachillerato completo o equivalente (aprox. 3 años),1,20.0
12-17 años,Morelos,Hombres,Bachillerato incompleto (1 a 2 años),2,40.0
12-17 años,Morelos,Hombres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Morelos,Hombres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Morelos,Hombres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Morelos,Hombres,No sabe/No contesta,0,0.0
12-17 años,Morelos,Hombres,Primaria completa (6 años),1,20.0
12-17 años,Morelos,Hombres,Primaria incompleta (1 a 5 años),0,0.0
12-17 años,Morelos,Hombres,Secundaria completa o equivalente (3 años),1,20.0
12-17 años,Morelos,Hombres,Secundaria incompleta (1 a 2 años),0,0.0
12-17 años,Morelos,Mujeres,Bachillerato completo o equivalente (aprox. 3 años),0,0.0
12-17 años,Morelos,Mujeres,Bachillerato incompleto (1 a 2 años),4,30.76923076923077
12-17 años,Morelos,Mujeres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Morelos,Mujeres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Morelos,Mujeres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Morelos,Mujeres,No sabe/No contesta,0,0.0
12-17 años,Morelos,Mujeres,Primaria completa (6 años),1,7.6923076923076925
12-17 años,Morelos,Mujeres,Primaria incompleta (1 a 5 años),0,0.0
12-17 años,Morelos,Mujeres,Secundaria completa o equivalente (3 años),6,46.15384615384615
12-17 años,Morelos,Mujeres,Secundaria incompleta (1 a 2 años),2,15.384615384615385
